"Super Name","Real Name","Publisher","Creators","Gender","Character Type","Appearances","Intelligence","Strength","Speed","Durability","Power","Combat","Good or Bad","Description","Pic"
"Cannonball","Samuel Zachery Guthrie","Marvel","Chris Claremont
Bob McLeod","Male","Mutant",3372,50,28,67,99,79,56,"Good","Cannonball is a mutant with the ability to propel himself through the air like a human rocket. Over the years, Sam has grown from a New Mutant, to the leader of the original X-Force, to a full-fledged X-Man. He currently teaches at the Jean Grey School and is an Avenger.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/11.jpg"
"Captain America","Steven Rogers","Marvel","Jack Kirby, Joe Simon","Male","Human",8276,63,19,35,56,55,100,"Good","During World War II, U.S. Army soldier Steve Rogers volunteered to receive the experimental Super-Soldier Serum. Enhanced to the pinnacle of human physical potential, he became Captain America. After a failed mission left him encased in ice for decades, he was found and revived by the Avengers, later becoming the team's leader.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/12.jpg"
"Colossus","Piotr Nikolaievitch Rasputin","Marvel","Len Wein
Dave Cockrum","Male","Mutant",5815,63,83,33,100,46,80,"Good to Bad","Piotr Rasputin is a Russian mutant who possesses the ability to transform his body into organic steel, giving him immense strength and durability. Colossus is among the physically strongest X-Men, and is a talented artist.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/13.jpg"
"Cyclops","Scott Summers","Marvel","Stan Lee, Jack Kirby","Male","Mutant",8590,75,10,23,42,76,80,"Good to Bad","The first X-Man, Scott Summers possesses the mutant ability to emit powerful force blasts from his eyes. He is visually distinctive for the ruby quartz visor he wears to control his devastating power. A born leader, Cyclops succeeded his mentor Professor X to command the X-Men.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/14.jpg"
"Daredevil","Matthew Michael Murdock","Marvel","Stan Lee
Bill Everett","Male","Human",3393,75,13,27,28,57,95,"Good","As a child, Matt Murdock was blinded by radioactive waste while trying to save an elderly stranger about to get hit by a truck carrying the dangerous material. In turn, his other senses were heightened to superhuman sharpness and he gained a form of radar sense. By day he is a successful trial lawyer, but by night, he guards Hell's Kitchen as Daredevil.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/15.jpg"
"Dazzler","Alison Blaire","Marvel","Tom DeFalco
Roger Stern
Louise Jones Simonson
John Romita Jr.","Female","Mutant",1970,63,10,35,42,64,56,"Good","A mutant with the ability to transduce sound into light, which often forces her into reluctant superheroism. She is also a very gifted singer and performer, hence her reservations in donning her uniform.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/16.jpg"
"Doctor Doom","Victor von Doom","Marvel","Stan Lee, Jack Kirby","Male","Human",2595,100,32,20,100,93,84,"Good","The very mention of his name makes lesser men tremble! The brilliant scientist with the iron mask and the twisted brain! Master of science and sorcery, Victor Von Doom is the monarch of Latveria, and the eternal nemesis of the Fantastic Four!","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/17.jpg"
"Doctor Strange","Stephen Vincent Strange","Marvel","Stan Lee
Steve Ditko","Male","Human",3231,100,10,12,84,100,60,"Good","Dr. Stephen Strange was once a gifted but egotistical surgeon who sought out the Ancient One to heal his hands after they were wounded in a car accident. Instead, the Ancient One trained him to become Master of the Mystic Arts and the Sorcerer Supreme of Earth.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/18.jpg"
"Elektra","Elektra Natchios","Marvel","Frank Miller","Female","Human",802,63,11,30,28,59,100,"Bad","The lethal scarlet assassin. Daredevil's most fearsome enemy as well as his former lover and most renowned as being the greatest assassin in the world.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/19.jpg"
"Emma Frost","Emma Grace Frost","Marvel","None","Female","Mutant",4704,75,63,35,90,82,42,"Bad","The former White Queen of the Hellfire Club, Emma Frost is a powerful mutant telepath who can transform herself into organic diamond. She has become an eminent member among the X-Men. A gifted teacher, Emma is renowned for her beauty, wit, and revealing attire.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/20.jpg"
"Galactus","Galan","Marvel","Stan Lee
Jack Kirby","Male","God/Eternal",1163,100,100,83,100,100,70,"Bad","Galactus is the famed Devourer of Worlds in the Marvel Universe. His powers are nearly omnipotent. He has appointed a number of entities as his Heralds, imbuing them with the Power Cosmic. He uses energy from the core of planets and universal sources to sustain himself.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/21.jpg"
"Gambit","Remy LeBeau","Marvel"," Jim Lee
Howard Mackie
Andy Kubert
Mike Collins
Chris Claremont","Male","Mutant",3589,63,10,23,2,55,84,"Bad to Good","Gambit is a charming master thief turned X-Man. He possesses the mutant ability to charge inanimate objects with kinetic energy, causing them to explode, he is also extremely agile because of his powers. Gambit's signature move is throwing charged playing cards.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/22.jpg"
"Hawkeye","Clinton Francis Barton","Marvel","Stan Lee
Don Heck","Male","Human",3586,50,12,23,14,26,80,"Good","Trained by criminals, and inspired by heroes, Clint Barton has grown from a troubled youth into one of the greatest heroes on Earth. The world knows him best as Hawkeye: Earth's Mightiest Marksman.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/23.jpg"
"Hercules","Heracles","Marvel","Stan Lee, Jack Kirby","Male","God/Eternal",1504,63,100,46,85,67,100,"Good","One of six Olympian sons of Zeus, Hercules was born the savior of the Gods and mankind. Known as the Prince of Power, Hercules is one of the strongest beings in existence, an Olympian God and a modern superhero recognized throughout the world for his might. He has been a champion of mankind since ancient times and continues to defend the world in the modern age - most frequently as a member of the Avengers.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/24.jpg"
"Hulk","Robert Bruce Banner","Marvel","Stan Lee, Jack Kirby","Male","Radiation",5594,88,100,47,100,52,85,"Good","After being bombarded with a massive dose of gamma radiation while saving a young man's life during the testing of an experimental bomb, Dr. Robert Bruce Banner was transformed into the Incredible Hulk: a green behemoth who is the living personification of rage and pure physical strength. He has currently taken on a new persona: Doc Green.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/25.jpg"
"Hulkling","Dorrek VIII","Marvel","Jim Cheung
Allan Heinberg","Male","Alien",304,88,100,47,100,52,85,"Good","Teddy is a half-Kree, half-Skrull alien raised as a human. He took the name Hulkling when he joined the Young Avengers and is also engaged to his teammate Wiccan, son of the Scarlet Witch.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/26.jpg"
"Human Torch","Jonathan Lowell Spencer Storm","Marvel","Stan Lee, Jack Kirby","Male","Radiation",5155,56,10,63,70,74,42,"Good","The second most powerful member of the Fantastic Four and the brother of Sue Richards. Due to an accident caused by cosmic radiation in space, he can manipulate fire, turn his entire body into it and fly.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/27.jpg"
"Iceman","Robert Louis Drake","Marvel","Stan Lee, Jack Kirby","Male","Mutant",5923,63,32,53,100,100,64,"Good","The youngest member of the original X-Men. Bobby is an Omega-level mutant, although it took some help from Emma Frost to realize this. Bobby's control of ice is vast; he can create shields, clones, spikes, slides and also freeze others. He currently teaches at the Jean Grey School for Higher Learning.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/28.jpg"
"Invisible Woman","Susan Storm Richards","Marvel","Stan Lee, Jack Kirby","Female","Radiation",4768,88,10,27,85,84,56,"Bad","Susan Storm is a founding member of the Fantastic Four and later the Future Foundation. She is able to create invisible force fields of any shape she conceives and able to turn herself and anything she's in contact with invisible.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/29.jpg"
"Iron Man","Anthony Edward Stark","Marvel","Stan Lee
Jack Kirby
Don Heck
Larry Lieber","Male","Human",7719,100,85,58,85,100,64,"Good","After he was kidnapped by terrorists and gravely injured, billionaire industrialist and brilliant engineer Tony Stark was pressured to create a weapon of mass destruction. Instead, he created a suit of power armor to escape. Now vowing to protect the world he helped endanger, he became the Invincible Iron Man.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/30.jpg"
"Jean Grey","Jean Grey","Marvel","Stan Lee, Jack Kirby","Female","Mutant",5683,100,80,67,100,100,70,"Good to Bad","Jean Grey was one of the five original X-Men. An omega-level mutant telekinetic and telepath, Jean has gained near limitless powers as a recurrent host of the Phoenix Force. She is known for her many returns from death and as the deceased wife of Cyclops.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/31.jpg"
"Jubilee","Jubilation Lee","Marvel","Chris Claremont
Marc Silvestri","Female","Mutant",2102,56,8,22,20,66,90,"Good","Jubilee, once a teenage mutant, became a member of the X-Men who could release colorful explosive plasmoids and detonate matter at a sub-atomic level. Robbed of her powers by M-Day, she has since been transformed into a vampire. Most recently, she rescued and adopted a baby boy from a meteor explosion.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/32.jpg"
"Juggernaut","Cain Marko","Marvel","Stan Lee, Jack Kirby","Male","Human",1506,44,100,42,100,74,70,"Good to Bad","Cain Marko, also known as the Juggernaut, is the step-brother of X-Men founder Charles Xavier and the avatar of Cyttorak. Powered by the Crimson Gem of Cyttorak, Marko is bestowed virtually limitless brute strength and durability which he mostly uses for criminal pursuits and wanton destruction. The Juggernaut is considered one of the strongest and most powerful beings on Earth.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/33.jpg"
"Kingpin","Wilson Grant Fisk","Marvel","Stan Lee
John Romita","Male","Human",1234,75,18,25,40,13,70,"Bad","The self-proclaimed kingpin of crime, Wilson Fisk is one of the most prominent figures of organized crime in the United States. He is the king of mobsters, controlling organized crime on the East Coast with an iron fist.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/34.jpg"
"Lady Deathstrike","Yuriko Oyama","Marvel","Dennis O'Neil
Larry Hama","Female","Cyborg",628,89,87,88,97,84,96,"Bad","Lady Deathstrike is a super-villain in the Marvel Universe and is most commonly associated with Wolverine and the X-Men.  Yuriko Oyama is the daughter of Kenji Oyama, a former Japanese kamikaze pilot during World War II, whose face was horribly scarred in a failed suicide attack on an American battleship. Later becoming the head of Oyama Heavy Industries, Kenji had Yuriko and her two brothers privately tutored by Marcy Stryker, wife of an American soldier named William Stryker. Kenji felt much shamed by his failure decades earlier, and as a result he ultimately scarred the faces of his three children in a ritual design. Becoming the criminal scientist Lord Dark Wind, Kenji developed a means for bonding the virtually indestructible metal Adamantium to human bone, a procedure he hoped to use in creating an army of super-soldiers for Japan. However, his notes were stolen and it took him years to rediscover the process. 

Growing to despise post-war Japanese civilization, Lord Dark Wind had the then-crippled assassin Bullseye brought to his island off the Japanese coast. There, Dark Wind replaced some of Bullseye's broken bones with Adamantium substitutes, hoping that in return Bullseye would assassinate Japan's minister of trade for him. Arriving in Japan intent on recapturing Bullseye, the blind costumed crimefighter Daredevil encountered Yuriko, who sought vengeance on her father, both for scarring her and for the deaths of her brothers, who had perished in Lord Dark Wind's service. Moreover, I the young man Yuriko loved, Kira, served in Dark Wind's private army, and she did not want her father to cause him harm. After Yuriko guided Daredevil to her father's private island, Bullseye escaped and Yuriko herself slew Lord Dark Wind just as he was about to kill Daredevil.

Following Daredevil's departure, Kira committed suicide in despair over Dark Wind's death. The shock of Kira's death radically altered Yukio's outlook on life, and she resolved to carry on her father's work. Yuriko became convinced that the mutant adventurer Wolverine had gained his Adamantium-laced skeleton by means of the process stolen from her father years earlier. Garbed as a female samurai and calling herself Lady Deathstrike, Yuriko led a number of her father's warriors to Canada where they confronted Wolverine, seeking to retrieve his Adamantium skeleton for study. She was defeated by Wolverine's long-time friend Heather Hudson, who had adopted the costumed identity of Vindicator in her role as leader of the Canadian super-team Alpha Flight. 

Having failed to defeat Wolverine, Lady Deathstrike resolved to better fight him on his own terms and so struck a deal with Donald Pierce, the renegade White King of the elitist Hellfire Club, who had formed a band of cyborg mercenaries named the Reavers. Pierce had the extradimensional being named Spiral transform Deathstrike into a cyborg, healing her facial scars in the process. Now possessing superhuman strength and Adamantium claws to rival Wolverine's own, she led three other cyborgs in Pierce's employ - former Hellfire Club soldiers Cole, Macon, and Reese - in an attack on Wolverine, only to again meet defeat. Now interested only in vengeance, Deathstrike later joined Pierce and his Reavers in an ambush on Wolverine in a remote town in the Australian outback. Capturing him, they crucified him on an X-shaped cross and left him to die. Wolverine was rescued by the young mutant Jubilee, and after a brief clash with the Reavers, the pair escaped. Believing Wolverine had fled to the mutant research facility on Muir Island, the Reavers arrived and clashed with both a ragtag group of X-Men and the US government-sponsored Freedom Force team. After both sides suffered casualties, the tide of battle began to turn against them and the Reavers retreated. 

Later hoping to succeed alone after her failures with a team, Deathstrike had the Reavers' former ally, the mutant aborigine Gateway, teleport her to Wolverine's location. At that moment, Wolverine had traveled back in time to Spain in 1937, so Deathstrike was also sent into the past. Caught in a skirmish during the Spanish Civil War, the pair subsequently fought their way through temporal distortion to return to the present, their battle unresolved. In a subsequent confrontation, Deathstrike learned that the self-styled mutant master of magnetism, Magneto, had forcibly removed the Adamantium from Wolverine's body. As a result, she lost interest in her quest and returned to the Reavers in search of purpose. 

After an attack on the Reavers by giant robotic Sentinels summoned from the future by the time-traveling mutant villain Trevor Fitzroy, Pierce rebuilt the Reavers and led them in capturing Milo Thurman, a former government employee who possessed incredible natural prophetic abilities. Pierce intended to transform Thurman into a cyborg Reaver under his control, but his plan was opposed by Thurman's former lover, the mutant mercenary Domino. As Deathstrike battled Domino, Pierce downloaded almost 60% of Thurman's consciousness into his own mind before the Reavers' base was destroyed. 

Later striking out on her own, Lady Deathstrike once again clashed with Wolverine but was possessed by the spirit of another of his nemeses, Ogun. Eventually abandoned by the spirit once it had learned from her how to infiltrate cybernetic systems, Deathstrike subsequently allied with the Japanese terrorist group Strikeforce Ukiyoe and they clashed with the super-soldier Captain America following his return from an extradimensional exile. She next found herself targeted by Prime Sentinels, mutant-hunting cyborgs under the command of the time-traveling villain Stryfe. Although not a mutant herself, Deathstrike unknowingly carried within her cybernetic programming the control codes for the more powerful Omega-class Sentinels. With the help of Wolverine and his teammates in the X-Men, Deathstrike defeated Stryfe and his forces. Despite their shared victory, Deathstrike's dislike for Wolverine endured, and she was subsequently recruited by Wolverine's arch-nemesis, the feral mutant Sabretooth, to assist him in striking at Wolverine's loved ones in exchange for valuable information. Deathstrike, alongside the Russian super-soldier Omega Red, crippled Wolverine's friend Yukio and abducted his ward, Amiko. Having obtained what he wanted, Sabretooth subsequently double-crossed Deathstrike and Omega Red, cheating them out of the information he had promised them. 

Lady Deathstrike later went to the aid of her former associate William Stryker, who had since become a minister and led an anti-mutant crusade that resulted in his imprisonment due to the murderous actions of his Purifier soldiers. Breaking him out of government custody, Deathstrike gave him access to the resources of Oyama Heavy Industries. In the course of aiding Stryker in his efforts, she fell under the control of Paul, a sentient computer entity who sought to protect the community of mutants living in Mount Haven. Under Paul's control, Deathstrike fought both Stryker and the X-Men, once more dueling with Wolverine and, ironically, meeting more success under Paul's control than she ever had on her own. In the course of one clash, Deathstrike was buried beneath collapsing rubble, but when the X-Man Bishop investigated he found only her severed cybernetic arm. Deathstrike's current whereabouts and activities are unknown.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/35.jpg"
"Magneto","Max Eisenhardt","Marvel","Stan Lee, Jack Kirby","Male","Mutant",4057,88,80,27,84,91,80,"Bad","Magneto is the master of magnetism and one of the most infamous and powerful mutants, possessing mastery over magnetism. He has played many roles in his long life: prisoner, survivor, terrorist, savior, conqueror, teacher, villain, and anti-hero. Magneto is the X-Men's oldest foe, and one of their greatest allies who has since lost a large portion of his power, he is currently part of Cyclops' mutant revolution. He is also the father of Lorna Dane.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/36.jpg"
"Mockingbird","Barbara Morse","Marvel","Creators 
Gerry Conway
Barry Windsor-Smith","Female","Human",849,63,17,25,20,38,70,"Good","Mockingbird was a SHIELD agent, ex-wife of Hawkeye and a member of the Avengers. Along with Hawkeye, she helped found the second Avengers team.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/37.jpg"
"Molly Hayes","Molly Hayes","Marvel","Brian K. Vaughan
Adrian Alphona
Joss Whedon
Brian Reber
David Newbold
C.B. Cebulski
Jo Chen","Female","Mutant",238,56,37,68,76,22,83,"Good","Molly is the youngest member of the teen super group the Runaways. She is a mutant with immense strength but she tends to become tired after using her power.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/38.jpg"
"Moonstar","Danielle Moonstar","Marvel","Chris Claremont
Bob McLeod","Female","Mutant",1798,87,84,98,65,44,59,"Bad to Good","A Native American and member of the original New Mutants, Dani Moonstar was one of many mutants to lose their powers on M-Day. Moonstar currently uses her skills, experience and combat prowess to fight against evil as Hel's Valkyrie and one of the Fearless Defenders.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/39.jpg"
"Mr. Fantastic","Reed Richards","Marvel","Stan Lee, Jack Kirby","Male","Radiation",5572,100,10,18,70,33,64,"Good","Reed Richards, also known as Mr. Fantastic, is the leader of the Fantastic Four. He can stretch his body to great distances due to his exposure to cosmic rays while in space. He is also considered to be one of the smartest men alive.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/40.jpg"
"Mr. Sinister","Nathaniel Essex","Marvel","Chris Claremont
Marc Silvestri","Male","Mutant",1128,99,57,45,78,84,55,"Bad","19th Century scientist Nathaniel Essex was genetically mutated by Apocalypse, who shared his philosophy of Social Darwinism. Becoming the immortal Mr. Sinister, he is perhaps the greatest geneticist in the world; capable of cloning, creating, enhancing, and controlling mutant abilities.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/41.jpg"
"Mystique","Raven Darkholme","Marvel"," Jim Mooney
Ron Garney","Female","Mutant",2165,75,12,23,64,58,74,"Bad","True to her name, the shape shifting Mystique is an enigma. Is she a mutant terrorist determined to bring about the end of humanity, or a misguided mutant with a good heart?","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/42.jpg"
"Namor","Namor","Marvel","Bill Everett","Male","Mutant",3743,58,63,63,63,57,63,"Bad to Good","Namor the Sub-Mariner is the ruler of undersea Atlantis. The offspring of a sea captain and an Atlantean princess, he has been both a hero and a villain to the surface world. Namor is one of Marvel's oldest published characters with his origins in The Golden Age of Comics.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/43.jpg"
"Nick Fury","Nicholas Joseph Fury","Marvel","Jack Kirby","Male","Human",3476,75,11,23,42,25,100,"Good","Nicholas Joseph Fury served in World War II as the leader of the Howling Commandos. He later became an agent, and eventually director, of S.H.I.E.L.D. Fury is one of the greatest strategic minds in the world, a born leader and a master of espionage.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/44.jpg"
"Nico Minoru","Nico Minoru","Marvel","Brian K. Vaughan
Adrian Alphona","Female","Human",218,65,67,44,88,76,54,"Bad","The daughter of Robert & Tina Minoru who was the unofficial leader of the Runaways.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/45.jpg"
"Nightcrawler","Kurt Wagner","Marvel","Len Wein, Dave Cockrum","Male","Mutant",5241,50,10,47,14,52,80,"Good","Kurt Wagner is a prominent member of the X-Men and former member and leader of Excalibur. He possessed the mutant ability of teleportation, as well as incredible agility and a prehensile tail. Nightcrawler was a devout Catholic, contrasting his demonic appearance. A swashbuckling trickster and former circus acrobat.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/46.jpg"
"Norman Osborn","Norman Virgil Osborn","Marvel","Stan Lee
Steve Ditko
John Romita","Male","Human",1768,45,67,89,67,69,85,"Bad","Known for many years as the Green Goblin and Spider-Man's arch-enemy, Osborn fooled the world into thinking he's a hero under the guise of the Iron Patriot and outed many heroes as cowards. His downfall was caused by his own insanity when he led a Siege on Asgard.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/47.jpg"
"Northstar","Jean-Paul Beaubier","Marvel","John Byrne
Chris Claremont","Male","Mutant",1305,50,18,83,56,80,80,"Good","Twin brother of Aurora, Northstar is the haughty mutant speedster affiliated with the X-Men, though he was originally a member of Alpha Flight. He is most famous for being the first openly gay superhero.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/48.jpg"
"Patriot ","Elijah Bradley","Marvel","Jim Cheung
Allan Heinberg","Male","Human",292,75,48,35,48,38,28,"Good","A founding member and leader of the Young Avengers, Elijah Bradley is the nephew of Josiah-X and grandson of Isaiah Bradley. After receiving a blood transfusion from his grandfather, Elijah now possesses the abilities of a Super Soldier. Patriot recently resigned his title of Patriot and now lives with his mother.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/49.jpg"
"Phobos","Alexander Aaron","Marvel","None","Male","God/Eternal",85,46,87,60,67,69,77,"Bad","Child of Ares and an unknown mortal woman, Alexander was a mortal boy whose godhood awoke from drinking the blood of Amatsu-Mikaboshi. He joined Nick Fury's Secret Warriors with the codename Phobos and became the new God of Fear. Later, he died at the hands of the Gorgon.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/50.jpg"
"Polaris","Lorna Sally Dane","Marvel","Arnold Drake
Don Heck
Jim Steranko","Female","Mutant",2095,77,96,93,98,56,68,"Good","The mutant mistress of magnetism, Polaris is also the daughter of Magneto. After a long sojourn in space she rejoined the ranks of X-Factor, fought alongside the X-Men against the Avengers, and now leads Serval Industries' All New X-Factor.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/51.jpg"
"Professor X","Charles Francis Xavier","Marvel","Stan Lee, Jack Kirby","Male","Mutant",5826,100,8,12,14,90,32,"Good","Professor Charles Xavier is the creator of the X-Men and founder of the Xavier School for Gifted Youngsters. His dream of peaceful coexistence between mutants and humanity has long been the driving force for the X-Men. An immensely powerful telepath and scientific genius, Xavier was among the world's greatest masterminds. Killed at the hands of a Phoenix crazed Cyclops, Xavier's memory and dream still remains and motivates his X-Men to keep fighting for a world that fears and hates them.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/52.jpg"
"Psylocke","Elizabeth Braddock","Marvel","Herb Trimpe
Chris Claremont","Female","Mutant",3442,63,33,25,40,83,90,"Good","British beauty Elizabeth Betsy Braddock is a mutant with vast telepathic and telekinetic powers that she can focus into deadly weapons. She is a stealthy martial artist, a former fashion model and longtime X-Man.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/53.jpg"
"Puck","Eugene Milton Judd","Marvel","John Byrne","Male","Human",605,56,58,79,91,97,99,"Good","The bouncing and dwarfish dynamo of Alpha Flight, the good natured Puck is the heart and soul of the team. He has also recently joined Psylocke and Storms' Uncanny X-Force in the Marvel NOW! relaunch.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/54.jpg"
"Pyro","St. John Allerdyce","Marvel","Chris Claremont
John Byrne","Male","Mutant",645,38,12,12,14,50,28,"Bad","Pyro is a mutant with the psionic ability to manipulate flame. He was a member of the Brotherhood of Evil Mutants & Freedom Force. He died from the effects of the Legacy Virus, but has been resurrected by Eli Bard to work for Selene.","https://raw.githubusercontent.com/moebiolabs/moebio_resources/master/resources/heros/55.jpg"
